handle,field,default content (en),translated content (ar)
white-glue-40-ml,title,Techno White Glue 40 ml,صمغ ٤٠ مل أبيض من Techno
white-glue-40-ml,body_html,"<p>Techno White Glue 40 ml that sticks paper and card cleanly.</p><p>A school-bag staple for projects, collages and quick fixes. From Techno.</p>",<p>صمغ ٤٠ مل أبيض من Techno يلصق الورق والكرتون بنظافة.</p><p>أساسي في حقيبة المدرسة للمشاريع والأشغال اليدوية.</p>
punched-pocket,title,Techno Punched Pockets,ملف من Techno
punched-pocket,body_html,"<p>Techno Punched Pockets to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From Techno.</p>",<p>ملف من Techno لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
monami-calligraphy-pen,title,Monami Calligraphy Pen,قلم من Monami
monami-calligraphy-pen,body_html,"<p>Monami Calligraphy Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike. From Monami.</p>",<p>قلم من Monami لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
sticky-note-5148,title,Techno Sticky Notes,ملاحظات لاصقة من Techno
sticky-note-5148,body_html,"<p>Techno Sticky Notes for quick reminders, page markers and desk notes that peel off cleanly.</p><p>Handy for students and office desks alike — stick them on books, screens and planners. From Techno.</p>",<p>ملاحظات لاصقة من Techno للملاحظات السريعة وتعليم الصفحات، تُنزع بسهولة دون أثر.</p><p>عملية للطلاب وعلى مكاتب العمل — على الكتب والشاشات والمخططات.</p>
foamy-sun-star-clouds,title,"Foam Shapes — Sun, Stars & Clouds","مستلزمات كرافت من Techno — Shapes — Sun, Stars & Clouds"
foamy-sun-star-clouds,body_html,"<p>Foam Shapes — Sun, Stars & Clouds for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Techno.</p>",<p>مستلزمات كرافت من Techno لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
goggly-eyes,title,Techno Googly Eyes,مستلزمات كرافت من Techno — Googly Eyes
goggly-eyes,body_html,"<p>Techno Googly Eyes for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Techno.</p>",<p>مستلزمات كرافت من Techno لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
magnifying-glass,title,Techno Magnifying Glass,طقم علمي من Techno — Magnifying Glass
magnifying-glass,body_html,"<p>Techno Magnifying Glass — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Techno.</p>",<p>طقم علمي من Techno — علوم عملية بطعم اللعب.</p><p>يتبع الصغار الخطوات ويرون نتائج حقيقية ويتعلمون السبب.</p>
foamy-glitter,title,Techno Foamy Glitter,مستلزمات كرافت من Techno — Foamy Glitter
foamy-glitter,body_html,"<p>Techno Foamy Glitter for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Techno.</p>",<p>مستلزمات كرافت من Techno لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
pipe-cleaner,title,Techno Pipe Cleaner,مستلزمات كرافت من Techno — Pipe Cleaner
pipe-cleaner,body_html,"<p>Techno Pipe Cleaner for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Techno.</p>",<p>مستلزمات كرافت من Techno لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
zip-lock-a5,title,FIS A5 Zip-Lock Bag,ملف مقاس A5 من FIS
zip-lock-a5,body_html,"<p>FIS A5 Zip-Lock Bag to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From FIS.</p>",<p>ملف مقاس A5 من FIS لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
magnifying-glass-small,title,Techno Magnifying Glass Small,طقم علمي من Techno — Magnifying Glass Small
magnifying-glass-small,body_html,"<p>Techno Magnifying Glass Small — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works. From Techno.</p>",<p>طقم علمي من Techno — علوم عملية بطعم اللعب.</p><p>يتبع الصغار الخطوات ويرون نتائج حقيقية ويتعلمون السبب.</p>
pipe-cleaner-glittery,title,Techno Pipe Cleaner Glittery,مستلزمات كرافت من Techno — Pipe Cleaner Glittery
pipe-cleaner-glittery,body_html,"<p>Techno Pipe Cleaner Glittery for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Techno.</p>",<p>مستلزمات كرافت من Techno لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
record-card-2-side-ruler-5x3-inch,title,"FIS Record Cards — Ruled Both Sides, 5×3 inch","ورق من FIS — Record Cards — Ruled Both Sides, 5×3 inch"
record-card-2-side-ruler-5x3-inch,body_html,"<p>FIS Record Cards — Ruled Both Sides, 5×3 inch for writing, printing and craft.</p><p>A useful stack to keep within arm's reach. From FIS.</p>",<p>ورق من FIS للكتابة والطباعة والكرافت.</p><p>رزمة مفيدة تستحق مكانًا قريبًا من يدك.</p>
magnet-mix-design,title,Mixed Design Magnet Set,طقم علمي
magnet-mix-design,body_html,"<p>Mixed Design Magnet Set — hands-on science that feels like play.</p><p>Curious kids follow the steps, see real results and learn why it works.</p>",<p>طقم علمي — علوم عملية بطعم اللعب.</p><p>يتبع الصغار الخطوات ويرون نتائج حقيقية ويتعلمون السبب.</p>
modeling-clay,title,Dozen Modeling Clay,صلصال من Dozen
modeling-clay,body_html,"<p>Dozen Modeling Clay — soft, colourful and easy to shape.</p><p>Hours of screen-free making for kids; air-dries into keepable little creations. From Dozen.</p>",<p>صلصال من Dozen — طري وملون وسهل التشكيل.</p><p>ساعات من اللعب الإبداعي بعيدًا عن الشاشات، ويجف ليتحول إلى مجسمات تُحفظ.</p>
record-card-2-side-ruler-6x4-inch,title,"FIS Record Cards — Ruled Both Sides, 6×4 inch","ورق من FIS — Record Cards — Ruled Both Sides, 6×4 inch"
record-card-2-side-ruler-6x4-inch,body_html,"<p>FIS Record Cards — Ruled Both Sides, 6×4 inch for writing, printing and craft.</p><p>A useful stack to keep within arm's reach. From FIS.</p>",<p>ورق من FIS للكتابة والطباعة والكرافت.</p><p>رزمة مفيدة تستحق مكانًا قريبًا من يدك.</p>
farm-animals-stickers,title,FIS Farm Animals Stickers,ملصقات من FIS — Farm Animals Stickers
farm-animals-stickers,body_html,"<p>FIS Farm Animals Stickers — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids. From FIS.</p>",<p>ملصقات من FIS — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
fruits-2-stickers,title,FIS Fruits 2 Stickers,ملصقات من FIS — Fruits 2 Stickers
fruits-2-stickers,body_html,"<p>FIS Fruits 2 Stickers — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids. From FIS.</p>",<p>ملصقات من FIS — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
human-body-parts-stickers,title,FIS Human Body Parts Stickers,ملصقات من FIS — Human Body Parts Stickers
human-body-parts-stickers,body_html,"<p>FIS Human Body Parts Stickers — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids. From FIS.</p>",<p>ملصقات من FIS — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
learning-numbers-stickers,title,FIS Learning Numbers Stickers,ملصقات من FIS — Learning Numbers Stickers
learning-numbers-stickers,body_html,"<p>FIS Learning Numbers Stickers — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids. From FIS.</p>",<p>ملصقات من FIS — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
baby-animals-stickers,title,FIS Baby Animals Stickers,ملصقات من FIS — Baby Animals Stickers
baby-animals-stickers,body_html,"<p>FIS Baby Animals Stickers — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids. From FIS.</p>",<p>ملصقات من FIS — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
birds-1-stickers,title,FIS Birds 1 Stickers,ملصقات من FIS — Birds 1 Stickers
birds-1-stickers,body_html,"<p>FIS Birds 1 Stickers — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids. From FIS.</p>",<p>ملصقات من FIS — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
cute-kitty-ball-pen,title,Montex Cute Kitty Ballpoint Pen,قلم من Montex
cute-kitty-ball-pen,body_html,"<p>Montex Cute Kitty Ballpoint Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike. From Montex.</p>",<p>قلم من Montex لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
slime-kit-3pcs-card,title,Slime Kit — 3 Pieces,طقم ٣ قطعة من M.Y.
slime-kit-3pcs-card,body_html,"<p>Slime Kit — 3 Pieces with everything needed in one box.</p><p>A ready-made activity for weekends, holidays and gifts. From M.Y..</p>",<p>طقم ٣ قطعة من M.Y. بكل ما تحتاجه في علبة واحدة.</p><p>نشاط جاهز لنهايات الأسبوع والإجازات والهدايا.</p>
cutter-2501,title,FIS Utility Cutter,سكين قص من FIS — Utility Cutter
cutter-2501,body_html,"<p>FIS Utility Cutter for clean, precise cutting.</p><p>Keep one in the drawer for parcels, paper and craft board. Handle with care around children. From FIS.</p>",<p>سكين قص من FIS لقص دقيق ونظيف.</p><p>أداة عملية للطرود والورق وألواح الكرافت — يُستخدم بحذر بعيدًا عن الأطفال.</p>
cutter-18mm,title,FIS Utility Cutter — 18 mm Blade,سكين قص ١٨ مم من FIS
cutter-18mm,body_html,"<p>FIS Utility Cutter — 18 mm Blade for clean, precise cutting.</p><p>Keep one in the drawer for parcels, paper and craft board. Handle with care around children. From FIS.</p>",<p>سكين قص ١٨ مم من FIS لقص دقيق ونظيف.</p><p>أداة عملية للطرود والورق وألواح الكرافت — يُستخدم بحذر بعيدًا عن الأطفال.</p>
de-guang-stationery,title,De Guang Document Organiser,ملف
de-guang-stationery,body_html,"<p>De Guang Document Organiser to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents.</p>",<p>ملف لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
kizuna-mppa-502,title,Elephant Kizuna Notebook (MPPA-502),دفتر Kizuna من Elephant — Kizuna Notebook (MPPA-502)
kizuna-mppa-502,body_html,"<p>Elephant Kizuna Notebook (MPPA-502) for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Elephant.</p>",<p>دفتر Kizuna من Elephant للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
kizuna-mppa-503,title,Elephant Kizuna Notebook (MPPA-503),دفتر Kizuna من Elephant — Kizuna Notebook (MPPA-503)
kizuna-mppa-503,body_html,"<p>Elephant Kizuna Notebook (MPPA-503) for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Elephant.</p>",<p>دفتر Kizuna من Elephant للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
elephant-mra-502,title,Elephant Notebook (MRA-502),دفتر من Elephant — Notebook (MRA-502)
elephant-mra-502,body_html,"<p>Elephant Notebook (MRA-502) for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Elephant.</p>",<p>دفتر من Elephant للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
notebook-a7,title,FIS Notebook A7,دفتر مقاس A7 من FIS
notebook-a7,body_html,"<p>FIS Notebook A7 for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From FIS.</p>",<p>دفتر مقاس A7 من FIS للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
notebook-a6-rainbow,title,FIS Notebook A6 Rainbow,دفتر مقاس A6 قوس قزح من FIS
notebook-a6-rainbow,body_html,"<p>FIS Notebook A6 Rainbow for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From FIS.</p>",<p>دفتر مقاس A6 قوس قزح من FIS للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
notebook-a6-black,title,FIS Notebook A6 Black,دفتر مقاس A6 أسود من FIS
notebook-a6-black,body_html,"<p>FIS Notebook A6 Black for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From FIS.</p>",<p>دفتر مقاس A6 أسود من FIS للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
paint-book-school,title,FIS Paint Book School,كتاب تلوين من FIS — Paint Book School
paint-book-school,body_html,"<p>FIS Paint Book School full of pictures waiting for colour.</p><p>A calm, screen-free activity for young children. From FIS.</p>",<p>كتاب تلوين من FIS بصفحات تنتظر التلوين.</p><p>نشاط هادئ بعيد عن الشاشات للأطفال الصغار.</p>
coloring-book-boat,title,FIS Colouring Book Boat,كتاب تلوين من FIS — Colouring Book Boat
coloring-book-boat,body_html,"<p>FIS Colouring Book Boat full of pictures waiting for colour.</p><p>A calm, screen-free activity for young children. From FIS.</p>",<p>كتاب تلوين من FIS بصفحات تنتظر التلوين.</p><p>نشاط هادئ بعيد عن الشاشات للأطفال الصغار.</p>
coloring-book-16-pages,title,FIS Colouring Book 16 Pages,كتاب تلوين من FIS — Colouring Book 16 Pages
coloring-book-16-pages,body_html,"<p>FIS Colouring Book 16 Pages full of pictures waiting for colour.</p><p>A calm, screen-free activity for young children. From FIS.</p>",<p>كتاب تلوين من FIS بصفحات تنتظر التلوين.</p><p>نشاط هادئ بعيد عن الشاشات للأطفال الصغار.</p>
adel-soft-eraser,title,Adel Soft Eraser — Style 1,ممحاة تصميم ١ من FIS
adel-soft-eraser,body_html,<p>Adel Soft Eraser that rubs out cleanly without tearing the page.</p><p>One of those small things every pencil case needs. From FIS.</p>,<p>ممحاة تصميم ١ من FIS يمسح بنظافة دون إتلاف الورقة.</p><p>من الأشياء الصغيرة التي تحتاجها كل مقلمة.</p>
coloring-book-the-uglu-duckling,title,Colouring Book — The Ugly Duckling,كتاب تلوين من FIS — Book — The Ugly Duckling
coloring-book-the-uglu-duckling,body_html,"<p>Colouring Book — The Ugly Duckling full of pictures waiting for colour.</p><p>A calm, screen-free activity for young children. From FIS.</p>",<p>كتاب تلوين من FIS بصفحات تنتظر التلوين.</p><p>نشاط هادئ بعيد عن الشاشات للأطفال الصغار.</p>
kizuna-a5-squares,title,Elephant Kizuna A5 Notebook — Squared,دفتر Kizuna مقاس A5 من Elephant — Kizuna A5 Notebook — Squared
kizuna-a5-squares,body_html,"<p>Elephant Kizuna A5 Notebook — Squared for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Elephant.</p>",<p>دفتر Kizuna مقاس A5 من Elephant للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
kizuna-a5-wppa-504,title,Elephant Kizuna A5 Notebook (WPPA-504),دفتر Kizuna مقاس A5 من Elephant — Kizuna A5 Notebook (WPPA-504)
kizuna-a5-wppa-504,body_html,"<p>Elephant Kizuna A5 Notebook (WPPA-504) for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Elephant.</p>",<p>دفتر Kizuna مقاس A5 من Elephant للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
sooofa,title,Kokuyo Sooofa Soft-Ring Notebook,دفتر Sooofa من Kokuyo
sooofa,body_html,"<p>Kokuyo Sooofa Soft-Ring Notebook for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Kokuyo.</p>",<p>دفتر Sooofa من Kokuyo للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
mellow-ring-with-index,title,Elephant Mellow Ring Notebook with Index,دفتر من Elephant — Mellow Ring Notebook with Index
mellow-ring-with-index,body_html,"<p>Elephant Mellow Ring Notebook with Index for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Elephant.</p>",<p>دفتر من Elephant للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
kizuna-wppb-502-grid,title,Elephant Kizuna B5 Notebook — Grid (WPPB-502),دفتر Kizuna مقاس B5 من Elephant — Kizuna B5 Notebook — Grid (WPPB-502)
kizuna-wppb-502-grid,body_html,"<p>Elephant Kizuna B5 Notebook — Grid (WPPB-502) for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Elephant.</p>",<p>دفتر Kizuna مقاس B5 من Elephant للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
kizuna-wppb-502,title,Elephant Kizuna B5 Notebook (WPPB-502),دفتر Kizuna مقاس B5 من Elephant — Kizuna B5 Notebook (WPPB-502)
kizuna-wppb-502,body_html,"<p>Elephant Kizuna B5 Notebook (WPPB-502) for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Elephant.</p>",<p>دفتر Kizuna مقاس B5 من Elephant للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
kizuna-series-b5-wppb-504,title,Elephant Kizuna B5 Notebook (WPPB-504),دفتر Kizuna مقاس B5 من Elephant — Kizuna B5 Notebook (WPPB-504)
kizuna-series-b5-wppb-504,body_html,"<p>Elephant Kizuna B5 Notebook (WPPB-504) for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Elephant.</p>",<p>دفتر Kizuna مقاس B5 من Elephant للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
notebook-wpp-121t,title,Elephant Notebook (WPP-121T),دفتر من Elephant — Notebook (WPP-121T)
notebook-wpp-121t,body_html,"<p>Elephant Notebook (WPP-121T) for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Elephant.</p>",<p>دفتر من Elephant للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
kokuyo-snoopy,title,Kokuyo Snoopy Notebook — Style 1,دفتر Snoopy تصميم ١ من Kokuyo
kokuyo-snoopy,body_html,"<p>Kokuyo Snoopy Notebook for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Kokuyo.</p>",<p>دفتر Snoopy تصميم ١ من Kokuyo للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
begin-elephant,title,Elephant Begin Notebook,دفتر من Elephant — Begin Notebook
begin-elephant,body_html,"<p>Elephant Begin Notebook for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Elephant.</p>",<p>دفتر من Elephant للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
snoopy,title,Snoopy Notebook,دفتر Snoopy
snoopy,body_html,"<p>Snoopy Notebook for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table.</p>",<p>دفتر Snoopy للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
kokuyo-snoopy-2,title,Kokuyo Snoopy Notebook — Style 2,دفتر Snoopy تصميم ٢ من Kokuyo
kokuyo-snoopy-2,body_html,"<p>Kokuyo Snoopy Notebook for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Kokuyo.</p>",<p>دفتر Snoopy تصميم ٢ من Kokuyo للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
notebook-a5,title,Notebook A5 — Style 1,دفتر مقاس A5 تصميم ١
notebook-a5,body_html,"<p>Notebook A5 for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table.</p>",<p>دفتر مقاس A5 تصميم ١ للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
brunch-brother,title,Brunch Brother Notebook,دفتر — Brother Notebook
brunch-brother,body_html,"<p>Brunch Brother Notebook for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table.</p>",<p>دفتر للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
happiness-notebook,title,Happiness Notebook,دفتر — Notebook
happiness-notebook,body_html,"<p>Happiness Notebook for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table.</p>",<p>دفتر للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
notebook-cat,title,Elephant Notebook Cat,دفتر من Elephant — Notebook Cat
notebook-cat,body_html,"<p>Elephant Notebook Cat for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Elephant.</p>",<p>دفتر من Elephant للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
notebook-a5-2,title,Notebook A5 — Style 2,دفتر مقاس A5 تصميم ٢
notebook-a5-2,body_html,"<p>Notebook A5 for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table.</p>",<p>دفتر مقاس A5 تصميم ٢ للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
catmemo,title,Double A Catmemo Sticky Notes,ملاحظات لاصقة Catmemo من Double A
catmemo,body_html,"<p>Double A Catmemo Sticky Notes for quick reminders, page markers and desk notes that peel off cleanly.</p><p>Handy for students and office desks alike — stick them on books, screens and planners. From Double A.</p>",<p>ملاحظات لاصقة Catmemo من Double A للملاحظات السريعة وتعليم الصفحات، تُنزع بسهولة دون أثر.</p><p>عملية للطلاب وعلى مكاتب العمل — على الكتب والشاشات والمخططات.</p>
saxa-poche,title,Kokuyo Saxa Poche Compact Scissors — Style 1,مقص Saxa Poche تصميم ١ من Kokuyo
saxa-poche,body_html,"<p>Kokuyo Saxa Poche Compact Scissors that cut cleanly and feel comfortable in hand.</p><p>Suits paper craft, school projects and everyday desk jobs. From Kokuyo.</p>",<p>مقص Saxa Poche تصميم ١ من Kokuyo يقص بدقة وبقبضة مريحة.</p><p>يناسب أعمال الورق والمشاريع المدرسية ومهام المكتب اليومية.</p>
portable-scissors,title,Kokuyo Campus Portable Scissors,مقص Campus
portable-scissors,body_html,"<p>Kokuyo Campus Portable Scissors that cut cleanly and feel comfortable in hand.</p><p>Suits paper craft, school projects and everyday desk jobs. From Campus.</p>",<p>مقص Campus يقص بدقة وبقبضة مريحة.</p><p>يناسب أعمال الورق والمشاريع المدرسية ومهام المكتب اليومية.</p>
eraser,title,Campus Eraser,ممحاة Campus
eraser,body_html,<p>Campus Eraser that rubs out cleanly without tearing the page.</p><p>One of those small things every pencil case needs. From Campus.</p>,<p>ممحاة Campus يمسح بنظافة دون إتلاف الورقة.</p><p>من الأشياء الصغيرة التي تحتاجها كل مقلمة.</p>
elephant,title,Galaxy Pastel Desk Accessory,أداة مكتبية من Galaxy Pastel
elephant,body_html,<p>Galaxy Pastel Desk Accessory — a practical helper for the desk.</p><p>One of those tools you reach for more often than you expect. From Galaxy Pastel.</p>,<p>أداة مكتبية من Galaxy Pastel — أداة عملية للمكتب.</p><p>من الأدوات التي ستستخدمها أكثر مما تتوقع.</p>
karu-cut,title,Kokuyo Karu Cut Washi Tape Cutter,شريط واشي Karu Cut
karu-cut,body_html,"<p>Kokuyo Karu Cut Washi Tape Cutter — decorative paper tape that tears by hand and repositions without marking.</p><p>Perfect for journals, gift wrapping and craft projects. A little roll that makes everything prettier.</p>",<p>شريط واشي Karu Cut — شريط ورقي مزخرف يُقص باليد ويُعاد لصقه دون أن يترك أثرًا.</p><p>مثالي لتزيين الدفاتر وتغليف الهدايا وأعمال الكرافت.</p>
kokuyo,title,Campus Desk Accessory,أداة مكتبية Campus
kokuyo,body_html,<p>Campus Desk Accessory — a practical helper for the desk.</p><p>One of those tools you reach for more often than you expect. From Campus.</p>,<p>أداة مكتبية Campus — أداة عملية للمكتب.</p><p>من الأدوات التي ستستخدمها أكثر مما تتوقع.</p>
elephant-correction-tape,title,Elephant Correction Tape,شريط تصحيح من Elephant
elephant-correction-tape,body_html,"<p>Elephant Correction Tape for tidy, instant corrections.</p><p>Glides on dry so you can write over it straight away. From Elephant.</p>",<p>شريط تصحيح من Elephant لتصحيح فوري ومرتب.</p><p>يجف مباشرة لتكتب فوقه فورًا.</p>
campus-correction-tape,title,Kokuyo Campus Correction Tape,شريط تصحيح Campus من Kokuyo
campus-correction-tape,body_html,"<p>Kokuyo Campus Correction Tape for tidy, instant corrections.</p><p>Glides on dry so you can write over it straight away. From Kokuyo.</p>",<p>شريط تصحيح Campus من Kokuyo لتصحيح فوري ومرتب.</p><p>يجف مباشرة لتكتب فوقه فورًا.</p>
fis-metal-sharpener,title,FIS Metal Sharpener,براية من FIS
fis-metal-sharpener,body_html,"<p>FIS Metal Sharpener for a clean, even point every time.</p><p>Compact enough for any pencil case. From FIS.</p>",<p>براية من FIS لسنّ نظيف ومتساوٍ في كل مرة.</p><p>حجم صغير يناسب أي مقلمة.</p>
fis-cutter-knife,title,FIS Cutter Knife,سكين قص من FIS — Cutter Knife
fis-cutter-knife,body_html,"<p>FIS Cutter Knife for clean, precise cutting.</p><p>Keep one in the drawer for parcels, paper and craft board. Handle with care around children. From FIS.</p>",<p>سكين قص من FIS لقص دقيق ونظيف.</p><p>أداة عملية للطرود والورق وألواح الكرافت — يُستخدم بحذر بعيدًا عن الأطفال.</p>
pet-sticky-note,title,Moshi Moshi Pet Sticky Note,ملاحظات لاصقة Moshi Moshi
